num_games: 10000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 9584 wins, 416 losses. | Share: 0.958400 | #2 SimpleAgent: 416 wins, 9584 losses. | Share: 0.041600 |  | QLearning score: 91680 
num_games: 20000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 12620 wins, 7380 losses. | Share: 0.631000 | #2 SimpleAgent: 7380 wins, 12620 losses. | Share: 0.369000 |  | QLearning score: 52400 
num_games: 20000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 18150 wins, 1850 losses. | Share: 0.907500 | #2 SimpleAgent: 1850 wins, 18150 losses. | Share: 0.092500 |  | QLearning score: 163000 
num_games: 20000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 18573 wins, 1427 losses. | Share: 0.928650 | #2 SimpleAgent: 1427 wins, 18573 losses. | Share: 0.071350 |  | QLearning score: 171460 
num_games: 20000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 18984 wins, 1016 losses. | Share: 0.949200 | #2 SimpleAgent: 1016 wins, 18984 losses. | Share: 0.050800 |  | QLearning score: 179680 
num_games: 30000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 20047 wins, 9953 losses. | Share: 0.668233 | #2 SimpleAgent: 9953 wins, 20047 losses. | Share: 0.331767 |  | QLearning score: 100940 
num_games: 30000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 26415 wins, 3585 losses. | Share: 0.880500 | #2 SimpleAgent: 3585 wins, 26415 losses. | Share: 0.119500 |  | QLearning score: 228300 
num_games: 30000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 28499 wins, 1501 losses. | Share: 0.949967 | #2 SimpleAgent: 1501 wins, 28499 losses. | Share: 0.050033 |  | QLearning score: 269980 
num_games: 30000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 29466 wins, 534 losses. | Share: 0.982200 | #2 SimpleAgent: 534 wins, 29466 losses. | Share: 0.017800 |  | QLearning score: 289320 
num_games: 40000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 32908 wins, 7092 losses. | Share: 0.822700 | #2 SimpleAgent: 7092 wins, 32908 losses. | Share: 0.177300 |  | QLearning score: 258160 
num_games: 40000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 36782 wins, 3218 losses. | Share: 0.919550 | #2 SimpleAgent: 3218 wins, 36782 losses. | Share: 0.080450 |  | QLearning score: 335640 
num_games: 40000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 39081 wins, 919 losses. | Share: 0.977025 | #2 SimpleAgent: 919 wins, 39081 losses. | Share: 0.022975 |  | QLearning score: 381620 
num_games: 40000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 39520 wins, 480 losses. | Share: 0.988000 | #2 SimpleAgent: 480 wins, 39520 losses. | Share: 0.012000 |  | QLearning score: 390400 
num_games: 50000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 38701 wins, 11299 losses. | Share: 0.774020 | #2 SimpleAgent: 11299 wins, 38701 losses. | Share: 0.225980 |  | QLearning score: 274020 
num_games: 50000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 47588 wins, 2412 losses. | Share: 0.951760 | #2 SimpleAgent: 2412 wins, 47588 losses. | Share: 0.048240 |  | QLearning score: 451760 
num_games: 50000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 49049 wins, 951 losses. | Share: 0.980980 | #2 SimpleAgent: 951 wins, 49049 losses. | Share: 0.019020 |  | QLearning score: 480980 
num_games: 50000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 49557 wins, 443 losses. | Share: 0.991140 | #2 SimpleAgent: 443 wins, 49557 losses. | Share: 0.008860 |  | QLearning score: 491140 
num_games: 60000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 52941 wins, 7059 losses. | Share: 0.882350 | #2 SimpleAgent: 7059 wins, 52941 losses. | Share: 0.117650 |  | QLearning score: 458820 
num_games: 60000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 56963 wins, 3037 losses. | Share: 0.949383 | #2 SimpleAgent: 3037 wins, 56963 losses. | Share: 0.050617 |  | QLearning score: 539260 
num_games: 60000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 59077 wins, 923 losses. | Share: 0.984617 | #2 SimpleAgent: 923 wins, 59077 losses. | Share: 0.015383 |  | QLearning score: 581540 
num_games: 60000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 59568 wins, 432 losses. | Share: 0.992800 | #2 SimpleAgent: 432 wins, 59568 losses. | Share: 0.007200 |  | QLearning score: 591360 
num_games: 70000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 60663 wins, 9337 losses. | Share: 0.866614 | #2 SimpleAgent: 9337 wins, 60663 losses. | Share: 0.133386 |  | QLearning score: 513260 
num_games: 70000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 66669 wins, 3331 losses. | Share: 0.952414 | #2 SimpleAgent: 3331 wins, 66669 losses. | Share: 0.047586 |  | QLearning score: 633380 
num_games: 70000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 68459 wins, 1541 losses. | Share: 0.977986 | #2 SimpleAgent: 1541 wins, 68459 losses. | Share: 0.022014 |  | QLearning score: 669180 
num_games: 70000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 69540 wins, 460 losses. | Share: 0.993429 | #2 SimpleAgent: 460 wins, 69540 losses. | Share: 0.006571 |  | QLearning score: 690800 
num_games: 80000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 69510 wins, 10490 losses. | Share: 0.868875 | #2 SimpleAgent: 10490 wins, 69510 losses. | Share: 0.131125 |  | QLearning score: 590200 
num_games: 80000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 77146 wins, 2854 losses. | Share: 0.964325 | #2 SimpleAgent: 2854 wins, 77146 losses. | Share: 0.035675 |  | QLearning score: 742920 
num_games: 80000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 78875 wins, 1125 losses. | Share: 0.985938 | #2 SimpleAgent: 1125 wins, 78875 losses. | Share: 0.014063 |  | QLearning score: 777500 
num_games: 80000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 79359 wins, 641 losses. | Share: 0.991988 | #2 SimpleAgent: 641 wins, 79359 losses. | Share: 0.008013 |  | QLearning score: 787180 
num_games: 90000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 79873 wins, 10127 losses. | Share: 0.887478 | #2 SimpleAgent: 10127 wins, 79873 losses. | Share: 0.112522 |  | QLearning score: 697460 
num_games: 90000, alpha: 0.4, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 87236 wins, 2764 losses. | Share: 0.969289 | #2 SimpleAgent: 2764 wins, 87236 losses. | Share: 0.030711 |  | QLearning score: 844720 
num_games: 90000, alpha: 0.6, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 88944 wins, 1056 losses. | Share: 0.988267 | #2 SimpleAgent: 1056 wins, 88944 losses. | Share: 0.011733 |  | QLearning score: 878880 
num_games: 90000, alpha: 0.8, gamma: 0.6, epsilon: 0.2
#1 QLearningAgent: 88990 wins, 1010 losses. | Share: 0.988778 | #2 SimpleAgent: 1010 wins, 88990 losses. | Share: 0.011222 |  | QLearning score: 879800 
num_games: 100000, alpha: 0.2, gamma: 0.6, epsilon: 0.2
